sample,latitude,longitude,dist_coast,dist_ocean,elevation
G2,-72.04130556,2.75711111,108703.6224,201528.1797,1336.304688
G3,-72.04127778,2.75752778,108713.7542,201521.7353,1336.304688
G4,-72.04269444,2.75716667,108791.6596,201677.6974,1354.273438
G5,-72.04266667,2.75755556,108800.9888,201671.4864,1354.398438
G6,-72.04391667,2.75791667,108889.1785,201803.4945,1395.234375
G7,-72.04388889,2.75830556,108898.4974,201797.2862,1395.234375
G8,-72.04522222,2.75905556,109003.0316,201935.1036,1415.742188
G9,-72.04519444,2.75955556,109015.4965,201927.9853,1415.742188
H10,-72.02588889,2.63330556,104224.964,200943.7452,1189.734375
H11,-71.76188889,-2.82533333,39200.4291,148159.9164,889.875
H12,-71.48133333,-3.20005556,6334.490443,115580.2892,375.359375
H1,-72.02491667,2.63511111,104214.592,200823.0108,1174.382813
H3,-72.02491667,2.63511111,104214.592,200823.0108,1174.382813
H4,-72.02491667,2.63511111,104214.592,200823.0108,1174.382813
H6,-72.02588889,2.63330556,104224.964,200943.7452,1189.734375
H7,-72.02588889,2.63330556,104224.964,200943.7452,1189.734375
H8,-72.02588889,2.63330556,104224.964,200943.7452,1189.734375
H9,-72.02588889,2.63330556,104224.964,200943.7452,1189.734375
Karin-RK1,-71.48133333,-3.20005556,6334.490443,115580.2892,375.359375
Karin-RK3,-71.48088889,-3.20211111,6246.594501,115525.3832,379.875
Karin-RK4,-71.48819444,-3.20830556,6615.241312,116320.8401,446.8984375
Karin-RK,-71.48105556,-3.20236111,6250.935623,115543.2324,379.875
Karin-flarjuven2,-71.01697222,-3.39719444,3257.033569,63502.8471,74.4609375
Karin-flarjuven4,-72.01519444,-3.38577778,61141.76063,174713.8657,1303.96875
Karin-grune1,-72.04983333,-2.79058333,65963.44272,180047.949,1365.054688
Karin-grune2,-72.04938889,-2.79255556,66003.56071,179989.8892,1358.34375
Karin-grune3,-72.04877778,-2.79022222,65902.17248,179933.2367,1353.015625
Karin-lorenz1,-71.76180556,-2.82511111,39196.19239,148151.9438,889.875
Karin-lorenz3,-71.75825,-2.80941667,38802.32074,147846.4955,981.3125
Karin-rk6,-71.49133333,-3.23575,6234.834115,116603.1137,464
Karin-schu1,-71.90277778,-2.97347222,51769.9904,163044.6226,933.6015625
Karin-schu2,-71.90311111,-2.97361111,51804.37649,163081.0032,933.6015625
Karin-schu3,-71.75227778,-2.97322222,35945.59452,146397.1065,708.8125
Karin-slett1,-72.13688889,-3.28330556,75008.60901,188321.5351,1475.484375
Karin-slett2,-72.13688889,-3.29772222,74943.14003,188307.3529,1500.398438
Karin-slett3,-72.13352778,-3.27808333,74662.91704,187953.3475,1462.835938
Karin-valt1,-71.89708333,-3.22647222,49163.5539,161736.0708,1021.882813
Karin-valt2,-71.89419444,-3.22727778,48845.2328,161413.5637,1097.1875
Karin-valt3,-71.89419444,-3.22727778,48845.2328,161413.5637,1097.1875
karin-flarjuven3,-72.01713889,-3.39683333,61317.19328,174926.6096,1321.382813
